"","Var1","Freq","rel"
"23581","geaoïiden",0,0
"23582","gearri",0,0
"23583","gearriveerd",0,0
"23584","gearriveerdooo",0,0
"23585","geassorteerd",0,0
"23586","geassorteerde",0,0
"23587","geassuiteerde",0,0
"23588","geassureerden",0,0
"23589","geatr",0,0
"23590","geatst",0,0
"23591","geb",0,0
"23592","gebaald",0,0
"23593","gebaat",0,0
"23594","gebabdus",0,0
"23595","gebadts",0,0
"23596","gebak",0,0
"23597","gebate",0,0
"23598","gebatikte",0,0
"23599","gebb",0,0
"23600","gebbh",0,0
"23601","gebbkwiijisch",0,0
"23602","gebboedebs",0,0
"23603","gebbs",0,0
"23604","gebchiktheid",0,0
"23605","gebe",0,0
"23606","gebed",0,0
"23607","gebeden",0,0
"23608","gebedenboek",0,0
"23609","gebedenboeken",0,0
"23610","gebedsleven",0,0
"23611","gebeeien",0,0
"23612","gebeeldh",0,0
"23613","gebeeldhouwd",0,0
"23614","gebeeldhouwde",0,0
"23615","gebeele",0,0
"23616","gebeeled",0,0
"23617","gebeelen",0,0
"23618","gebeeleo",0,0
"23619","gebeeleu",0,0
"23620","gebeente",0,0
"23621","gebeimbondtn",0,0
"23622","gebekwaam",0,0
"23623","gebeoedees",0,0
"23624","gebes",0,0
"23625","gebeten",0,0
"23626","gebeukte",0,0
"23627","gebeurd",0,0
"23628","gebeurt",0,0
"23629","gebeurtenissen",0,0
"23630","gebezigd",0,0
"23631","gebfvmbest",0,0
"23632","gebi",0,0
"23633","gebiacht",0,0
"23634","gebied",0,0
"23635","gebildetes",0,0
"23636","gebintbalken",0,0
"23637","gebintstijlen",0,0
"23638","gebioemd",0,0
"23639","gebitten",0,0
"23640","gebk",0,0
"23641","gebkuik",0,0
"23642","gebl",0,0
"23643","geblancheerde",0,0
"23644","gebleekt",0,0
"23645","gebleken",0,0
"23646","gebleven",0,0
"23647","geblts",0,0
"23648","gebmcksae",0,0
"23649","gebobgen",0,0
"23650","geboden",0,0
"23651","geboeg",0,0
"23652","gebogen",0,0
"23653","geboien",0,0
"23654","geboiw",0,0
"23655","gebom",0,0
"23656","gebon",0,0
"23657","gebond",0,0
"23658","gebonded",0,0
"23659","gebonden",0,0
"23660","gebonro",0,0
"23661","gebonw",0,0
"23662","gebooid",0,0
"23663","geboord",0,0
"23664","geboorte",0,0
"23665","geboortedag",0,0
"23666","geborduurd",0,0
"23667","geboréd",0,0
"23668","gebóren",0,0
"23669","geborgen",0,0
"23670","gebotteld",0,0
"23671","gebottelde",0,0
"23672","gebouw",0,0
"23673","gëböüw",0,0
"23674","gebouwen",0,0
"23675","gebouwenligging",0,0
"23676","gebr",0,0
"23677","gèbr",0,0
"23678","gebra",0,0
"23679","gebraada",0,0
"23680","gebracht",0,0
"23681","gebrachte",0,0
"23682","gebralink",0,0
"23683","gebrand",0,0
"23684","gebrandmerkt",0,0
"23685","gebrednav",0,0
"23686","gebreide",0,0
"23687","gebrek",0,0
"23688","gebreke",0,0
"23689","gebreken",0,0
"23690","gebrmk",0,0
"23691","gebroch",0,0
"23692","gebrocheerd",0,0
"23693","gebrocheerde",0,0
"23694","gebroeders",0,0
"23695","gebrr",0,0
"23696","gebrs",0,0
"23697","gebrschollaardt",0,0
"23698","gebrtke",0,0
"23699","gebruik",0,0
"23700","gèbruik",0,0
"23701","gebruika",0,0
"23702","gebruike",0,0
"23703","gebruikelijken",0,0
"23704","gebruikelijks",0,0
"23705","gebruiken",0,0
"23706","gebruikende",0,0
"23707","gebruiko",0,0
"23708","gebruiksaanw",0,0
"23709","gebruiksaanwiizing",0,0
"23710","gebruiksaanwijzing",0,0
"23711","gebruiksaanwijzingen",0,0
"23712","gebruiksnanwïzirig",0,0
"23713","gebruiksr",0,0
"23714","gebruikt",0,0
"23715","gebruikte",0,0
"23716","gebruikuanwijzina",0,0
"23717","gebrüirteckmtkiflgks",0,0
"23718","gebruiste",0,0
"23719","gebrv",0,0
"23720","gebrx",0,0
"23721","gebs",0,0
"23722","gebtiinhouding",0,0
"23723","gebuigen",0,0
"23724","gebürtige",0,0
"23725","gebuurte",0,0
"23726","gebxagheae",0,0
"23727","gec",0,0
"23728","gecartonn",0,0
"23729","gecartonneerd",0,0
"23730","gecartooneerd",0,0
"23731","gecerd",0,0
"23732","geceven",0,0
"23733","gechikte",0,0
"23734","gecicht",0,0
"23735","gecin",0,0
"23736","gecireord",0,0
"23737","geclienteerde",0,0
"23738","geclurende",0,0
"23739","gecmpïogeerdo",0,0
"23740","gecmploijeerden",0,0
"23741","gecoll",0,0
"23742","gecollecteerd",0,0
"23743","gecombineerd",0,0
"23744","gecombu",0,0
"23745","gecommitteerd",0,0
"23746","gecommitteerden",0,0
"23747","gecomponeerd",0,0
"23748","gecomprimeerd",0,0
"23749","gecomprimeerde",0,0
"23750","geconcessioneerde",0,0
"23751","geconditioneerd",0,0
"23752","geconfij",0,0
"23753","geconfijte",0,0
"23754","geconfute",0,0
"23755","gecons",0,0
"23756","geconserveerd",0,0
"23757","geconsolideerde",0,0
"23758","geconstateerd",0,0
"23759","gecontinueerd",0,0
"23760","gecontroleerd",0,0
"23761","geconverteerde",0,0
"23762","gecostiimeerden",0,0
"23763","gecostumeerdcn",0,0
"23764","gecostumeerden",0,0
"23765","gecuige",0,0
"23766","ged",0,0
"23767","gedaagd",0,0
"23768","gedaagde",0,0
"23769","gedaags",0,0
"23770","gedaan",0,0
"23771","gedachten",0,0
"23772","gedagteekend",0,0
"23773","gedateerd",0,0
"23774","gedbinnen",0,0
"23775","gedbinnenrotte",0,0
"23776","gede",0,0
"23777","gedecoreerd",0,0
"23778","gedecorr",0,0
"23779","gedeeld",0,0
"23780","gedeellev",0,0
"23781","gedeelt",0,0
"23782","gedeelte",0,0
"23783","gedeelteïyk",0,0
"23784","gedeeltelijken",0,0
"23785","gedeeltelj",0,0
"23786","gedeeltelnk",0,0
"23787","gedeelten",0,0
"23788","gedeelto",0,0
"23789","gedekt",0,0
"23790","gedelegeerde",0,0
"23791","gedenkt",0,0
"23792","gedeponeerd",0,0
"23793","gedeponeerde",0,0
"23794","gedeput",0,0
"23795","gedeputeerde",0,0
"23796","gederen",0,0
"23797","gedesinfecteerd",0,0
"23798","gedetail",0,0
"23799","gedezing",0,0
"23800","gediag",0,0
"23801","gedicht",0,0
"23802","gedichten",0,0
"23803","gedichtjes",0,0
"23804","gedie",0,0
"23805","gediend",0,0
"23806","gedipiomterd",0,0
"23807","gedipl",0,0
"23808","gediplom",0,0
"23809","gedirigeerd",0,0
"23810","gedis",0,0
"23811","gedisteleerd",0,0
"23812","gedistilleerd",0,0
"23813","gedistingeerden",0,0
"23814","gedistllleerd",0,0
"23815","gedlpl",0,0
"23816","gedlssilleortl",0,0
"23817","gèdo",0,0
"23818","gedoemde",0,0
"23819","gedomicilieerd",0,0
"23820","gedoseerde",0,0
"23821","gedr",0,0
"23822","gedraagter",0,0
"23823","gedraaid",0,0
"23824","gedrag",0,0
"23825","gedragen",0,0
"23826","gedrangter",0,0
"23827","gedresseerd",0,0
"23828","gedresseerde",0,0
"23829","gedrev",0,0
"23830","gedrig",0,0
"23831","gedrongen",0,0
"23832","gedroog",0,0
"23833","gedroogd",0,0
"23834","gedroogde",0,0
"23835","gedroosde",0,0
"23836","gedrootrde",0,0
"23837","gedruklens",0,0
"23838","gedruktecs",0,0
"23839","gedrukten",0,0
"23840","gedtponeerd",0,0
"23841","gëdu",0,0
"23842","geduld",0,0
"23843","gedurenda",0,0
"23844","gedurende",0,0
"23845","gedurentïs",0,0
"23846","gedureude",0,0
"23847","geduurd",0,0
"23848","geduwd",0,0
"23849","gee",0,0
"23850","geeartoanee",0,0
"23851","geeaßoicassda",0,0
"23852","geebke",0,0
"23853","geechilderde",0,0
"23854","geed",0,0
"23855","geeda",0,0
"23856","geede",0,0
"23857","geeeide",0,0
"23858","géeente",0,0
"23859","geëerd",0,0
"23860","geeerde",0,0
"23861","geëerde",0,0
"23862","geëerden",0,0
"23863","geeerni",0,0
"23864","geeetsema",0,0
"23865","geeetzema",0,0
"23866","geëevenredigd",0,0
"23867","geef",0,0
"23868","geëffectueerd",0,0
"23869","geefsters",0,0
"23870","geeft",0,0
"23871","geeignete",0,0
"23872","geeij",0,0
"23873","geëindigd",0,0
"23874","geek",0,0
"23875","geeke",0,0
"23876","geelachtlgen",0,0
"23877","geele",0,0
"23878","geelhoed",0,0
"23879","geelkop",0,0
"23880","geelt",0,0
"23881","geëmaieerd",0,0
"23882","geëmaiieard",0,0
"23883","geemaillecrd",0,0
"23884","geëmailleerd",0,0
"23885","geëmailleerde",0,0
"23886","geëmaseercl",0,0
"23887","geëmploieerden",0,0
"23888","geëmploieérden",0,0
"23889","geèmployeerde",0,0
"23890","geëmployeerde",0,0
"23891","gëëmployeerde",0,0
"23892","geëmployeerdei",0,0
"23893","géén",0,0
"23894","gëèn",0,0
"23895","geene",0,0
"23896","géene",0,0
"23897","geengeslotenmagazijn",0,0
"23898","geeno",0,0
"23899","geente",0,0
"23900","geentusschenp",0,0
"23901","geeohikr",0,0
"23902","geer",0,0
"23903","geeraard",0,0
"23904","geeren",0,0
"23905","geerkamer",0,0
"23906","geerling",0,0
"23907","geers",0,0
"23908","gëers",0,0
"23909","geérscis",0,0
"23910","geert",0,0
"23911","geertje",0,0
"23912","geertrui",0,0
"23913","geertruidenberg",0,0
"23914","geertruidenbert",0,0
"23915","geerts",0,0
"23916","geertsema",0,0
"23917","gees£",0,0
"23918","gëes",0,0
"23919","geest",0,0
"23920","geestigen",0,0
"23921","geestmerambacht",0,0
"23922","geeststraat",0,0
"23923","geestvermogens",0,0
"23924","geestverwanten",0,0
"23925","geëtaleerd",0,0
"23926","geetel",0,0
"23927","geeth",0,0
"23928","geetoken",0,0
"23929","geeu",0,0
"23930","geeup",0,0
"23931","geeven",0,0
"23932","geëvenredigd",0,0
"23933","geew",0,0
"23934","geëx",0,0
"23935","geèxamin",0,0
"23936","geëxamineerd",0,0
"23937","geëxamineerde",0,0
"23938","geexamineerden",0,0
"23939","geëxploiteerd",0,0
"23940","geëxposeerd",0,0
"23941","gef",0,0
"23942","gefaald",0,0
"23943","gefabriceerd",0,0
"23944","gefailleerde",0,0
"23945","gefailleerdtn",0,0
"23946","gefen",0,0
"23947","gefheélé",0,0
"23948","gefit",0,0
"23949","gefiv",0,0
"23950","gefl",0,0
"23951","gefnigen",0,0
"23952","gefoeüed",0,0
"23953","gefort",0,0
"23954","gefra",0,0
"23955","gefrankeerd",0,0
"23956","gefrankeerde",0,0
"23957","gefuigen",0,0
"23958","gefungeerd",0,0
"23959","gefwden",0,0
"23960","geg",0,0
"23961","gega",0,0
"23962","gegaan",0,0
"23963","gegadig",0,0
"23964","gegadigdeb",0,0
"23965","gegadigden",0,0
"23966","gegadügden",0,0
"23967","gegalv",0,0
"23968","gegalvaniseerd",0,0
"23969","gegalvaniseerde",0,0
"23970","gegar",0,0
"23971","gegaraiifleerfl",0,0
"23972","gegarandeerd",0,0
"23973","gegarandeerde",0,0
"23974","gegarand„rdadrebj",0,0
"23975","gegarandsid",0,0
"23976","gegarneerde",0,0
"23977","gegcn",0,0
"23978","gegebikte",0,0
"23979","gegelegenheid",0,0
"23980","gegen",0,0
"23981","gegenwartigen",0,0
"23982","gegetrouwd",0,0
"23983","gegev",0,0
"23984","gegevens",0,0
"23985","gegezellig",0,0
"23986","gegjgggsggw",0,0
"23987","geglaceerd",0,0
"23988","geglacterd",0,0
"23989","geglansd",0,0
"23990","gegoedheid",0,0
"23991","gegoeien",0,0
"23992","gegoten",0,0
"23993","gegovene",0,0
"23994","gegraasd",0,0
"23995","gegraveerd",0,0
"23996","gegraven",0,0
"23997","gegründet",0,0
"23998","geh",0,0
"23999","gehad",0,0
"24000","gehadwaardoor",0,0
"24001","gehaele",0,0
"24002","gehakt",0,0
"24003","gehakte",0,0
"24004","gehal",0,0
"24005","gehalte",0,0
"24006","gehandeld",0,0
"24007","gehecht",0,0
"24008","gehecle",0,0
"24009","geheee",0,0
"24010","geheei",0,0
"24011","geheeie",0,0
"24012","gehéél",0,0
"24013","geheelals",0,0
"24014","geheele",0,0
"24015","gehéele",0,0
"24016","geheéle",0,0
"24017","geheelefvaren",0,0
"24018","geheelen",0,0
"24019","geheelën",0,0
"24020","geheeleo",0,0
"24021","geheelérdag",0,0
"24022","geheelevoo",0,0
"24023","geheelewerk",0,0
"24024","geheel«n",0,0
"24025","geheels",0,0
"24026","gehei",0,0
"24027","geheimen",0,0
"24028","geheimh",0,0
"24029","geheimhouding",0,0
"24030","geheimhoudlnz",0,0
"24031","gehel",0,0
"24032","gehemelteplaat",0,0
"24033","gehen",0,0
"24034","geheole",0,0
"24035","gehesle",0,0
"24036","geheven",0,0
"24037","gehezeh",0,0
"24038","gehiher",0,0
"24039","g«ehikt",0,0
"24040","gehjkstraat",0,0
"24041","gehjuen",0,0
"24042","gehnnden",0,0
"24043","gehodden",0,0
"24044","geholpen",0,0
"24045","gehomologeerd",0,0
"24046","gehooluren",0,0
"24047","gehoord",0,0
"24048","gehoorzaal",0,0
"24049","gehoudea",0,0
"24050","gehouwen",0,0
"24051","gehrcht",0,0
"24052","gehrung",0,0
"24053","gehrüng",0,0
"24054","gehtelé",0,0
"24055","gehuchten",0,0
"24056","gehuldigd",0,0
"24057","gehuwdbledtigil",0,0
"24058","gehuwde",0,0
"24059","gehuwden",0,0
"24060","gehuwds",0,0
"24061","gehzee",0,0
"24062","gei",0,0
"24063","geï",0,0
"24064","geias",0,0
"24065","geideh",0,0
"24066","geidoud",0,0
"24067","geieen",0,0
"24068","geien",0,0
"24069","geifarauilcoril",0,0
"24070","geigd",0,0
"24071","geiiawd",0,0
"24072","geiidersch",0,0
"24073","geïigschriften",0,0
"24074","geiihe",0,0
"24075","geiilanf",0,0
"24076","geiin",0,0
"24077","geijer",0,0
"24078","geijjtóten",0,0
"24079","geijtenbeek",0,0
"24080","geilaatst",0,0
"24081","geïllustreerd",0,0
"24082","geillustreerde",0,0
"24083","geïmp",0,0
"24084","geïmport",0,0
"24085","geimporteerd",0,0
"24086","geïmporteerd",0,0
"24087","geimporteerdo",0,0
"24088","geimuiktkcotftfüges",0,0
"24089","gein",0,0
"24090","geïncasseerd",0,0
"24091","geïnd",0,0
"24092","geïnde",0,0
"24093","geineubeleerde",0,0
"24094","geïnformeerd",0,0
"24095","geïnsinueerde",0,0
"24096","geinteressaeid",0,0
"24097","geïnteresseerd",0,0
"24098","geïnterviewd",0,0
"24099","geïntroduceerd",0,0
"24100","geïntroduceerde",0,0
"24101","geïntroduceerden",0,0
"24102","geiondheldskoffle",0,0
"24103","geïraaifl",0,0
"24104","geiruikt",0,0
"24105","geiseesheer",0,0
"24106","geïsehetaal",0,0
"24107","geisi«ii",0,0
"24108","geitel",0,0
"24109","geitemie",0,0
"24110","geiten",0,0
"24111","geitend",0,0
"24112","geitgen",0,0
"24113","geiueisbeïeerdc",0,0
"24114","geiuigchrilfcbii",0,0
"24115","geiuigen",0,0
"24116","geiveest",0,0
"24117","gej",0,0
"24118","gejadeente",0,0
"24119","gejep",0,0
"24120","gejft",0,0
"24121","gejhjfc",0,0
"24122","gejieelc",0,0
"24123","gejisp",0,0
"24124","gejndsn",0,0
"24125","gejyaldjgn",0,0
"24126","gekaart",0,0
"24127","gekalfd",0,0
"24128","gekamd",0,0
"24129","gekapte",0,0
"24130","gekapten",0,0
"24131","gekarnde",0,0
"24132","gekartelden",0,0
"24133","gekaveld",0,0
"24134","gekbbands",0,0
"24135","gekbert",0,0
"24136","gekbmen",0,0
"24137","gekeele",0,0
"24138","gekeerd",0,0
"24139","gekend",0,0
"24140","gekende",0,0
"24141","gekeurd",0,0
"24142","gekittjét",0,0
"24143","gekl",0,0
"24144","gekleede",0,0
"24145","gekleukde",0,0
"24146","gekleurd",0,0
"24147","gekleurdo",0,0
"24148","gekleux",0,0
"24149","geklleening",0,0
"24150","geklopte",0,0
"24151","geklourde",0,0
"24152","geknakt",0,0
"24153","gekochi",0,0
"24154","gekocht",0,0
"24155","gekochte",0,0
"24156","gekoesterden",0,0
"24157","gekomen",0,0
"24158","gekomw",0,0
"24159","gekonfijte",0,0
"24160","gekookt",0,0
"24161","gekookte",0,0
"24162","gekoperde",0,0
"24163","gekost",0,0
"24164","gekotsterden",0,0
"24165","gekozen",0,0
"24166","gekregen",0,0
"24167","gekrompen",0,0
"24168","gekruisd",0,0
"24169","gekweekte",0,0
"24170","gel",0,0
"24171","gelaar",0,0
"24172","gelaats",0,0
"24173","gelaatskleur",0,0
"24174","gelagen",0,0
"24175","gelagkamer",0,0
"24176","gelakwensehea",0,0
"24177","gelang",0,0
"24178","gelatec",0,0
"24179","gelaten",0,0
"24180","gelatine",0,0
"24181","gelcrwewesncht",0,0
"24182","geld",0,0
"24183","geldbehoevenden",0,0
"24184","geldbelegging",0,0
"24185","geldbo",0,0
"24186","geldcrsclw",0,0
"24187","gelde",0,0
"24188","geldebsche",0,0
"24189","gelden",0,0
"24190","geldenti",0,0
"24191","gelder",0,0
"24192","geldereche",0,0
"24193","gelderland",0,0
"24194","gelderlander",0,0
"24195","gelderlnd",0,0
"24196","geldermalsem",0,0
"24197","geldern",0,0
"24198","gelderscbe",0,0
"24199","geldersch",0,0
"24200","geldersche",0,0
"24201","gelderschekade",0,0
"24202","gelderschen",0,0
"24203","gelderschoverijselsche",0,0
"24204","geldersclie",0,0
"24205","geldersdh",0,0
"24206","gelderseh",0,0
"24207","geldersehe",0,0
"24208","geldersrhekade",0,0
"24209","geldervan",0,0
"24210","geldkasten",0,0
"24211","geldkoers",0,0
"24212","geldleedirg",0,0
"24213","geldleemmtooo",0,0
"24214","geldleënïi",0,0
"24215","geldleeniifg",0,0
"24216","geldleening",0,0
"24217","geldleeningen",0,0
"24218","geldleoidg",0,0
"24219","geldloterij",0,0
"24220","geldorp",0,0
"24221","gelds",0,0
"24222","geldscbieter",0,0
"24223","geldschieters",0,0
"24224","geldschiiinke",0,0
"24225","geldt",0,0
"24226","geldvorst",0,0
"24227","geldzaken",0,0
"24228","geleaen",0,0
"24229","gelechtigden",0,0
"24230","geledaij",0,0
"24231","gelee",0,0
"24232","gelée",0,0
"24233","geleeen",0,0
"24234","geleeenheid",0,0
"24235","geleerd",0,0
"24236","geleg",0,0
"24237","gelegcrn",0,0
"24238","gelegd",0,0
"24239","geleged",0,0
"24240","gelegeh",0,0
"24241","gelegeneen",0,0
"24242","gelegenfiea",0,0
"24243","gelegenh",0,0
"24244","gelegenhe",0,0
"24245","gelegenheden",0,0
"24246","gelegenhei",0,0
"24247","gelegenheid",0,0
"24248","gelegenheidhestaat",0,0
"24249","gelegenheidskoopje",0,0
"24250","gelegenheidte",0,0
"24251","gelegenhnid",0,0
"24252","gelegenhoid",0,0
"24253","gelegenie",0,0
"24254","gelegenmarnixkade",0,0
"24255","geleger",0,0
"24256","gelegeuheid",0,0
"24257","geleg«nliel«l",0,0
"24258","gelegon",0,0
"24259","gelei",0,0
"24260","geleid",0,0
"24261","geleiding",0,0
"24262","geleidingen",0,0
"24263","geleidt",0,0
"24264","geleienheid",0,0
"24265","geleiieü",0,0
"24266","geleina",0,0
"24267","gelerenheid",0,0
"24268","gelet",0,0
"24269","geleuenheid",0,0
"24270","geleverd",0,0
"24271","gelevérde",0,0
"24272","gelevord",0,0
"24273","gelf",0,0
"24274","gelfgenheid",0,0
"24275","gelgk",0,0
"24276","gelieden",0,0
"24277","geliee",0,0
"24278","gelieele",0,0
"24279","geliéele",0,0
"24280","geliefd",0,0
"24281","geliefdeu",0,0
"24282","geliefdon",0,0
"24283","geliefile",0,0
"24284","geliel",0,0
"24285","gelierarül©",0,0
"24286","gelieren",0,0
"24287","gelierm",0,0
"24288","geliernialsen",0,0
"24289","gelieve",0,0
"24290","gelieven",0,0
"24291","gelievenbjiinne",0,0
"24292","gelieye",0,0
"24293","geliiiakt",0,0
"24294","gelijken",0,0
"24295","gelijkenissei",0,0
"24296","gelijkgevraagd",0,0
"24297","gelijkmatigheid",0,0
"24298","gelijkstaande",0,0
"24299","gelijkuamig",0,0
"24300","gelijkvloers",0,0
"24301","geling",0,0
"24302","geliove",0,0
"24303","gelioven",0,0
"24304","geliuwd",0,0
"24305","geljjke",0,0
"24306","geljjknomig",0,0
"24307","gelkes",0,0
"24308","gelkingestraat",0,0
"24309","gellaatst",0,0
"24310","gelle",0,0
"24311","gelmakkelijk",0,0
"24312","gelnfrbewocmd",0,0
"24313","gelntroduceerden",0,0
"24314","gelogd",0,0
"24315","gelogeerd",0,0
"24316","gelons",0,0
"24317","geloof",0,0
"24318","geloofd",0,0
"24319","geloopen",0,0
"24320","geloovige",0,0
"24321","gelost",0,0
"24322","geloten",0,0
"24323","gelqk",0,0
"24324","gelrgn",0,0
"24325","gèlrjb",0,0
"24326","gels",0,0
"24327","gelsch",0,0
"24328","gelsche",0,0
"24329","gelselaar",0,0
"24330","gelser",0,0
"24331","gelteele",0,0
"24332","geluid",0,0
"24333","geluigun",0,0
"24334","geluk",0,0
"24335","gelukken",0,0
"24336","gelukwens",0,0
"24337","gelukwenschen",0,0
"24338","gem",0,0
"24339","gemaakta",0,0
"24340","gemacht",0,0
"24341","gemachtigd",0,0
"24342","gemachtigde",0,0
"24343","gemaiv",0,0
"24344","gemak",0,0
"24345","gemakk",0,0
"24346","gemakke",0,0
"24347","gemakkeiijke",0,0
"24348","gemakkelgk",0,0
"24349","gemakkelijkheid",0,0
"24350","gemakkelnkheid",0,0
"24351","gemakkeluko",0,0
"24352","gemakken",0,0
"24353","gemakkens",0,0
"24354","gemakketykhrid",0,0
"24355","gemakkeu",0,0
"24356","gemakkolijk",0,0
"24357","gemakshalve",0,0
"24358","gemalen",0,0
"24359","gemangeld",0,0
"24360","gemarin",0,0
"24361","gemarineerde",0,0
"24362","gematigd",0,0
"24363","gember",0,0
"24364","geme",0,0
"24365","gemeei",0,0
"24366","gemeend",0,0
"24367","gemeenschap",0,0
"24368","gemeenschappelijkon",0,0
"24369","gemeente",0,0
"24370","gemeenteadministratie",0,0
"24371","gemeenteambtenaren",0,0
"24372","gemeenteapotheker",0,0
"24373","gemeentearchitect",0,0
"24374","gemeentebank",0,0
"24375","gemeentebesturen",0,0
"24376","gemeentebesturenvereenigirgen",0,0
"24377","gemeentebesturenverenigingen",0,0
"24378","gemeentebestuur",0,0
"24379","gemeentebewaarschool",0,0
"24380","gemeentecrediet",0,0
"24381","gemeentegasfabriek",0,0
"24382","gemeentegebouwen",0,0
"24383","gemeentegeneesheer",0,0
"24384","gemeentehl",0,0
"24385","gemeentehui",0,0
"24386","gemeentehuis",0,0
"24387","gemeentehuize",0,0
"24388","gemeentekas",0,0
"24389","gemeentelgke",0,0
"24390","gemeentelokaal",0,0
"24391","gemeenten",0,0
"24392","gemeenteontvanger",0,0
"24393","gemeenteonxvanger",0,0
"24394","gemeenteopzichter",0,0
"24395","gemeenteraaad",0,0
"24396","gemeenteraad",0,0
"24397","gemeenterekening",0,0
"24398","gemeenteschool",0,0
"24399","gemeentesecretarie",0,0
"24400","gemeentestem",0,0
"24401","gemeenteveearts",0,0
"24402","gemeenteveld",0,0
"24403","gemeenteveldwachter",0,0
"24404","gemeentevroed",0,0
"24405","gemeentevroedvrouw",0,0
"24406","gemeentewege",0,0
"24407","gemeentewerf",0,0
"24408","gemeentewerken",0,0
"24409","gemeenvihuhe",0,0
"24410","gemeettte",0,0
"24411","gemeld",0,0
"24412","gemelde",0,0
"24413","gemelden",0,0
"24414","gemeleerde",0,0
"24415","gemenbileerde",0,0
"24416","gemerkt",0,0
"24417","gemert",0,0
"24418","gemèrt",0,0
"24419","gemest",0,0
"24420","gemeste",0,0
"24421","gemeten",0,0
"24422","gemetselde",0,0
"24423","gemeu",0,0
"24424","gemeub",0,0
"24425","gemeubeieerde",0,0
"24426","gemeubeieerdo",0,0
"24427","gemeubeieerje",0,0
"24428","gemeubel",0,0
"24429","gemeubeld",0,0
"24430","gemeubelde",0,0
"24431","gemeubeleerd",0,0
"24432","gemeubeleerde",0,0
"24433","gemeubil",0,0
"24434","gemeubileerdekameß",0,0
"24435","gemeubileerdevooßkam",0,0
"24436","gemeubileerdey",0,0
"24437","gemeubileerdezit",0,0
"24438","gemeubileerlei",0,0
"24439","gemiagd",0,0
"24440","gemist",0,0
"24441","gemiyrw",0,0
"24442","gemnlhoeken",0,0
"24443","gemoateard",0,0
"24444","gemoet",0,0
"24445","gemold",0,0
"24446","gemolken",0,0
"24447","gemonde",0,0
"24448","gemonteerd",0,0
"24449","gemonteerde",0,0
"24450","gempany",0,0
"24451","gemtnte",0,0
"24452","gemulhoekena",0,0
"24453","gemüthlichen",0,0
"24454","gen",0,0
"24455","¦gen",0,0
"24456","™gen",0,0
"24457","€gen",0,0
"24458","gen■",0,0
"24459","genaakt",0,0
"24460","genaam",0,0
"24461","genatan",0,0
"24462","gencdcoenen",0,0
"24463","gencesmlldelen",0,0
"24464","gende",0,0
"24465","genderen",0,0
"24466","gendringen",0,0
"24467","gendt",0,0
"24468","gene",0,0
"24469","geneeebeer",0,0
"24470","geneeerdirecteur",0,0
"24471","geneei",0,0
"24472","genee»■idiel",0,0
"24473","geneert",0,0
"24474","genees",0,0
"24475","geneesen",0,0
"24476","geneeseu",0,0
"24477","geneesfieere",0,0
"24478","geneesheee",0,0
"24479","geneesheer",0,0
"24480","geneesheerdirecteur",0,0
"24481","geneesheeren",0,0
"24482","geneesheeron",0,0
"24483","geneeshoeren",0,0
"24484","geneeskua",0,0
"24485","geneeskuncaga",0,0
"24486","geneeskunde",0,0
"24487","geneeskundig©",0,0
"24488","geneeskundigen",0,0
"24489","geneeskunst",0,0
"24490","geneeskuren",0,0
"24491","geneeslieeren",0,0
"24492","geneesmiddel",0,0
"24493","geneesmiddelen",0,0
"24494","geneesmiddels",0,0
"24495","geneest",0,0
"24496","geneg",0,0
"24497","genege",0,0
"24498","genegenen",0,0
"24499","genegenheid",0,0
"24500","genei",0,0
"24501","geneien",0,0
"24502","geneigd",0,0
"24503","geneigt",0,0
"24504","genekt",0,0
"24505","genemuiden",0,0
"24506","genend",0,0
"24507","genenen",0,0
"24508","genepshcern",0,0
"24509","generaalagcnt",0,0
"24510","generaalagent",0,0
"24511","generaalagenteft",0,0
"24512","generaalagenten",0,0
"24513","generaalaijent",0,0
"24514","generaaliiicnlrn",0,0
"24515","generaalvertegenwoordiger",0,0
"24516","generagenten",0,0
"24517","general",0,0
"24518","generalan",0,0
"24519","generaldirector",0,0
"24520","générale",0,0
"24521","generalede",0,0
"24522","génerales",0,0
"24523","genesheer",0,0
"24524","genestet",0,0
"24525","genetnuiden",0,0
"24526","genever",0,0
"24527","genezeg",0,0
"24528","genezen",0,0
"24529","genezende",0,0
"24530","genezendslc",0,0
"24531","genezing",0,0
"24532","genezingen",0,0
"24533","gënhmumiglt",0,0
"24534","geni",0,0
"24535","genialen",0,0
"24536","geniatf",0,0
"24537","genie",0,0
"24538","génie",0,0
"24539","genieiibeleerde",0,0
"24540","geniert",0,0
"24541","geniet",0,0
"24542","genieten",0,0
"24543","genietende",0,0
"24544","genietroepen",0,0
"24545","genivelleerd",0,0
"24546","genlaatst",0,0
"24547","gennep",0,0
"24548","genni",0,0
"24549","gennip",0,0
"24550","gennochap",0,0
"24551","geno",0,0
"24552","genob",0,0
"24553","genoeg",0,0
"24554","genoegehjk",0,0
"24555","genoegelljke",0,0
"24556","genoegelrjken",0,0
"24557","genoegen",0,0
"24558","genoeinlen",0,0
"24559","genoemdegemeente",0,0
"24560","genoetsch",0,0
"24561","genomea",0,0
"24562","genomen",0,0
"24563","genomeujworden",0,0
"24564","genood",0,0
"24565","genoodigden",0,0
"24566","genoodnaakt",0,0
"24567","genoodz",0,0
"24568","genoodzaakt",0,0
